Section	Label	Variable	UI	Type	Min	Max	Default	Tier	Formula for UI elements (x from 0.0 to 1.0)	Unit	enum	Notes	OSC path	OSC "inc" or "dec" before value to increment of decrement	OSC path optional value	OSC remote path	Hover help text in the status bar	Keyboard shortcuts	Models
FxCrush	Dither	effectCrushDither	H slider	FLOAT	-96.0	0.0	-96.0	1	min+(max-min)*x	dB		Node <FxCrush>. -96 dB = off. White noise added before the quantiser, from a deterministic hash keyed per module instance; the stream advances whether or not dither is on. The prototype's full-scale default is not reproduced.	/wfs/effect/crushDither <ID> <value>	y	extra value is transition time in seconds		Dither level before the quantiser (-96 = off).		
FxCrush	Mix	effectCrushMix	H slider	FLOAT	0.0	100.0	100.0	1	min+(max-min)*x	%		Node <FxCrush>. Wet percentage.	/wfs/effect/crushMix <ID> <value>	y	extra value is transition time in seconds		Dry/wet mix of the bitcrusher (wet %).		
Sends	Input Send Levels	effectSendLevels	Send matrix (row)	STRING				2				Node <Sends>. A packed comma-separated ROW property, deliberately UNBOUND (no Min/Max/Default constants) so the write interceptor never clamps it into a scalar. SURVIVING A LOAD IS THE INVARIANT: a template diff cannot tell a pending row from a retired one, so either the builder stamps the row into the template - createEffectSendsSection stamps all four, at their fixed widths - or stripObsoleteEffectProperties has to exempt them by name; with neither, the load after the first runtime write deletes an operator's send routing with no undo. Rename or retire one of the four and whichever of those two mechanisms is in force must move in the same commit. 64 wide, index = input PERMANENT NUMBER - 1. Never resized. Input delete zeroes that column; renumber remaps it.	/wfs/effect/sendLevels <ID> "<csv>"				Levels of every input send into this effect, as one comma-separated list of dB values.		
Sends	Input Send Switches	effectSendOns	Send matrix (row)	STRING				1				Node <Sends>. A packed comma-separated ROW property, deliberately UNBOUND (no Min/Max/Default constants) so the write interceptor never clamps it into a scalar. SURVIVING A LOAD IS THE INVARIANT: a template diff cannot tell a pending row from a retired one, so either the builder stamps the row into the template - createEffectSendsSection stamps all four, at their fixed widths - or stripObsoleteEffectProperties has to exempt them by name; with neither, the load after the first runtime write deletes an operator's send routing with no undo. Rename or retire one of the four and whichever of those two mechanisms is in force must move in the same commit. 64 wide, index = input PERMANENT NUMBER - 1. New channels start with every switch OFF, so the row starts silent.	/wfs/effect/sendOns <ID> "<csv>"				On/off switches of every input send into this effect, as one comma-separated list.		
Sends	Effect Send Levels	effectFxSendLevels	Send matrix (row)	STRING				2				Node <Sends>. A packed comma-separated ROW property, deliberately UNBOUND (no Min/Max/Default constants) so the write interceptor never clamps it into a scalar. SURVIVING A LOAD IS THE INVARIANT: a template diff cannot tell a pending row from a retired one, so either the builder stamps the row into the template - createEffectSendsSection stamps all four, at their fixed widths - or stripObsoleteEffectProperties has to exempt them by name; with neither, the load after the first runtime write deletes an operator's send routing with no undo. Rename or retire one of the four and whichever of those two mechanisms is in force must move in the same commit. 32 wide, keyed by DENSE EFFECT INDEX, with the diagonal forced off (no self-feed).	/wfs/effect/fxSendLevels <ID> "<csv>"				Levels of every effect-to-effect send into this effect, as one comma-separated list of dB values.		
Sends	Effect Send Switches	effectFxSendOns	Send matrix (row)	STRING				1				Node <Sends>. A packed comma-separated ROW property, deliberately UNBOUND (no Min/Max/Default constants) so the write interceptor never clamps it into a scalar. SURVIVING A LOAD IS THE INVARIANT: a template diff cannot tell a pending row from a retired one, so either the builder stamps the row into the template - createEffectSendsSection stamps all four, at their fixed widths - or stripObsoleteEffectProperties has to exempt them by name; with neither, the load after the first runtime write deletes an operator's send routing with no undo. Rename or retire one of the four and whichever of those two mechanisms is in force must move in the same commit. 32 wide, keyed by DENSE EFFECT INDEX, with the diagonal forced off.	/wfs/effect/fxSendOns <ID> "<csv>"				On/off switches of every effect-to-effect send into this effect, as one comma-separated list.		
Sends	Input Send Level (cell)	effectSendLevel	Send matrix cell (level bar)	FLOAT	-92.0	0.0	0.0	2	20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)))	dB		PSEUDO-IDENTIFIER: no node ever carries this name. It exists so the OSC parser, the ramper and the OSCQuery cell nodes have something to validate ONE CELL against, while the generic parameter path finds no tree for it and refuses the write instead of overwriting a whole row with a scalar. Never stamp it onto a node. Cell writes go through setEffectSendCell (read-modify-write of the row, one undo entry). PREFIX COLLISION: effectSend is a strict prefix of effectSendLevels and effectSendOns, which stay string setters. Range is -92..0: no gain in the matrix (decision Q12); gain, if wanted, comes from the modules.	/wfs/effect/sendLevel <ID> <input number> <value>	y	extra value is transition time in seconds		Level of one input's send into this effect.		
Sends	Input Send On (cell)	effectSendOn	Send matrix cell (toggle)	INT	0	1	0	1			OFF (0) ; ON (1)	PSEUDO-IDENTIFIER: no node ever carries this name. It exists so the OSC parser, the ramper and the OSCQuery cell nodes have something to validate ONE CELL against, while the generic parameter path finds no tree for it and refuses the write instead of overwriting a whole row with a scalar. Never stamp it onto a node. Cell writes go through setEffectSendCell (read-modify-write of the row, one undo entry). A cell is gated by this switch, so a level of 0 dB is unity and the row starts silent because the switches start off.	/wfs/effect/sendOn <ID> <input number> <value>				Switch one input's send into this effect on or off.		
Sends	Effect Send Level (cell)	effectFxSendLevel	Send matrix cell (level bar)	FLOAT	-92.0	0.0	0.0	2	20*log10(pow(10,-92./20.)+((1-pow(10,-92./20.))*pow(x,2)))	dB		PSEUDO-IDENTIFIER: no node ever carries this name. It exists so the OSC parser, the ramper and the OSCQuery cell nodes have something to validate ONE CELL against, while the generic parameter path finds no tree for it and refuses the write instead of overwriting a whole row with a scalar. Never stamp it onto a node. Cell writes go through setEffectSendCell (read-modify-write of the row, one undo entry). Keyed by dense effect index; the diagonal is forced off.	/wfs/effect/fxSendLevel <ID> <source effect ID> <value>	y	extra value is transition time in seconds		Level of one effect's send into this effect.		
Sends	Effect Send On (cell)	effectFxSendOn	Send matrix cell (toggle)	INT	0	1	0	1			OFF (0) ; ON (1)	PSEUDO-IDENTIFIER: no node ever carries this name. It exists so the OSC parser, the ramper and the OSCQuery cell nodes have something to validate ONE CELL against, while the generic parameter path finds no tree for it and refuses the write instead of overwriting a whole row with a scalar. Never stamp it onto a node. Cell writes go through setEffectSendCell (read-modify-write of the row, one undo entry). Keyed by dense effect index; the diagonal is forced off.	/wfs/effect/fxSendOn <ID> <source effect ID> <value>				Switch one effect's send into this effect on or off.		
Sends	All Sends On / Off		two text buttons									Switches every source's send into the selected effect on or off in one undo entry. Not a stored parameter.					Switch every send into this effect on, or off.		
EffectsGlobal	Link Group Names	effectsGlobalLinkNames	8 editable text boxes	STRING			Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8	1				Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. ONE comma-separated property holding all 8 names, not eight ...Name1..8 properties: a numbered family would generate an undispatchable generic index tool.	/wfs/config/effects/linkNames "<csv>"				Names of the eight effect link groups, as one comma-separated list.		
EffectsGlobal	Link Mode	effectsGlobalLinkMode	Drop down menu	INT	0	2	1	1			Off (0) ; Absolute (1) ; Relative (2)	Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Relative applies to CONTINUOUS values only: discrete values (enums, bypasses, chain order, mutes) are always copied absolutely, or the channel is unlinked. Keyboard modifiers override on the GUI only; hardware follows this state.	/wfs/config/effects/linkMode <value>				How edits propagate inside a link group: off, absolute, or relative.		
EffectsGlobal	Geometric Effect-to-Effect Feed	effectsGlobalFxFeedGeometric	Text button	INT	0	1	1	1			Matrix only (0) ; Geometric (1)	Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Escape hatch for decision 3 / Q1. 0 = matrix level and switch only, with the feed delay forced to 0; 1 = level AND delay from the source return position.	/wfs/config/effects/fxFeedGeometric <value>				Feed effects from each other geometrically, or through the matrix alone.		
EffectsGlobal	Worker Threads	effectsGlobalWorkerThreads	Number box	INT	-1	4	-1	3				Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. -1 = auto, which mirrors the reverb feed pool's rule (0 workers below 256 source x effect cells, else jlimit(0, 3, hw/2 - 1)); 0..4 fix the count. Structural: it resizes the pool that drives every chain.	/wfs/config/effects/workerThreads <value>				Number of effects worker threads (-1 = automatic).		
EffectsGlobal	Return Cushion	effectsGlobalReturnCushion	Drop down menu	INT	0	3	0	1		blocks	Auto (0) ; 1 block (1) ; 2 blocks (2) ; 3 blocks (3)	Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Auto = 2 blocks when the device block is 128 samples or less, 1 above. R4-5: the rings are primed with EXACTLY the cushion, so the published "input to effect to speaker = 1 block" claim is true as written.	/wfs/config/effects/returnCushion <value>				Blocks of cushion on the effect return rings (0 = automatic).		
EffectsGlobal	Loop Guard	effectsGlobalLoopGuard	Text button	INT	0	1	1	1			OFF ; ON	Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Per channel, on the engine thread. R4-1: both the trip and the release decisions read the PRE-GAIN FEED peak; the return is a veto that can delay a release but never cause one. Input-to-effect feeds are never touched.	/wfs/config/effects/loopGuard <value>				Automatically mute an effect-to-effect feed that is running away.		
EffectsGlobal	Loop Guard Ceiling	effectsGlobalLoopGuardCeiling	H slider	FLOAT	0.0	24.0	6.0	1	min+(max-min)*x	dBFS		Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Peak ceiling, in dBFS. R4-2: the trip threshold is a TIME (default 60 ms), not a block count, so the same event does not let eight times as much runaway through at a 512 sample buffer as at 64.	/wfs/config/effects/loopGuardCeiling <value>				Peak level at which the loop guard trips (dBFS).		
EffectsGlobal	Maximum Delay Time	effectsGlobalMaxDelaySeconds	Number box	INT	1	20	5	3		s		Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Sizes EVERY delay module's buffer: nextPow2(seconds x sr + maxBlock), about 2-4 MB per channel at the 5 s default and 15-31 MB at 20 s. A stopped-engine setting, and the ceiling of effectDelayTime / effectDelayTapTime.	/wfs/config/effects/maxDelaySeconds <value>				Longest delay any effects channel may buffer, in seconds.		
EffectsGlobal	Feed Compute Device	effectsGlobalFeedGpuDevice	Drop down menu	STRING			cpu	3				Config > EffectsGlobal, a child of <Config> and NOT a sibling of the <Effect> channels. The name starts with "effect", so it needs a BY-NAME exception ahead of getParameterScope's prefix test - without it the prefix test routes the write into the Effect branch, finds no channel node, and drops it in silence. Compute device id for the feed stage ("cpu", "hip:0", "cuda:0", ...). The engine is CPU-only in v1; this is the hook for the optional later feed-on-GPU phase.	/wfs/config/effects/feedGpuDevice "<value>"				Compute device used for the effects feed stage.		
I/O	Effects Channels	effectChannels	number box	INT	0	32	0	3				Config > IO property, next to reverbChannels. A CONFIG property despite the "effect" prefix, so it needs a by-name Config exception ahead of the prefix test. Locked when DSP is running. Reducing the count prompts a confirmation before removing channel settings. Max is maxEffectChannels, asserted against spatcore::effects::kMaxEffectChannels.	/wfs/config/effectChannels <value>				Number of Effects Channels.		
Store/Reload	Store Effects Configuration		Text button (long-press)				Store Effects Configuration					Store Effects Configuration to file (makes a backup and shows confirmation in the status bar).					Store Effects Configuration to file (overwrite with confirmation).		
Store/Reload	Reload Effects Configuration		Text button (long-press)				Reload Effects Configuration					Reload Effects Configuration from file (confirmation in status bar).					Reload Effects Configuration from file (with confirmation).		
Store/Reload	Reload Effects Config Backup		Text button (long-press)				Reload Effects Config Backup					Reload Effects Configuration from backup file (confirmation in status bar).					Reload Effects Configuration from backup file (with confirmation).		
Store/Reload	Import Effects Configuration		Text button (long-press)				Import Effects Configuration					Import Effects Configuration from file (with file-explorer window).					Import Effects Configuration from file (with file explorer window).		
Store/Reload	Export Effects Configuration		Text button (long-press)				Export Effects Configuration					Export Effects Configuration to file (with file-explorer window).					Export Effects Configuration to file (with file explorer window).		
Store/Reload	Store NEW Snapshot		Text button (long-press)								Store NEW Snapshot	The snapshot row is the Inputs tab's, shared (plan revision 8): one snapshot file carries the inputs AND the effects, scoped per item and per channel in each family's grid, and the selection is the same on both tabs. Store a new snapshot with a name popup (default: date and time stamp). Over OSC: /wfs/input/snapshot/store "<name>".					Store a new snapshot of the inputs and the effects.		
Store/Reload	Select Snapshot		Drop down menu								Select Snapshot	Populated with the snapshot file names when opened. Selects without loading; the Inputs tab's selector shows the same snapshot.					Select a snapshot without loading it.		
Store/Reload	Reload Snapshot		Text button (long-press)								Reload Snapshot	Reload the selected snapshot - inputs and effects - taking its scope into account. Also recalled by its MIDI note and over OSC: /wfs/input/snapshot/load "<name>". An <Effect> whose id no live channel carries is skipped and reported.					Reload the selected snapshot, inputs and effects, taking the scope into account.		
Store/Reload	Reload Without Scope		Text button (long-press)								Reload Without Scope	Reload the whole selected snapshot, ignoring its scope (OnRecall snapshots only: OnSave ones hold filtered data).					Reload the selected snapshot ignoring its scope.		
Store/Reload	Update Snapshot		Text button (long-press)								Update Snapshot	Re-capture the selected snapshot with its own scope (with a backup), inputs and effects.					Update the selected snapshot with the current values.		
Store/Reload	Edit Snapshot Scope		Text button								Edit Snapshot Scope	Open the Snapshot Scope window on its Effects tab (the Inputs tab's row opens it on its Inputs tab; one window, one tab per family). Items: the channel's flat parameters by group, and each of the eleven modules as a whole.					Open the Snapshot Scope window on its Effects tab.		
Store/Reload	Delete Snapshot		Text button (long-press)								Delete Snapshot	Delete the selected snapshot file.					Delete the selected snapshot.		
